"id","name","title","year","salary","bonus","stock_awards","option_awards","RSUs","nonequity_incentive_plan_compensation","change_in_pension_value_and_nonqualified_deferred_compensation","securities_underlying_options","all_other","total","remainder","accession","cik","file_date","ind_cik","ind_id"
"418922","Sean R. Creamer Senior Vice President and Chief Financial Officer",,"1999","129850.00","36000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"165850.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242911",NULL
"418923","B. Lee McGee Executive Vice President - Sylvan Ventures",,"2001","250000.00","250000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"500000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242915",NULL
"418924","B. Lee McGee Executive Vice President - Sylvan Ventures",,"2000","250000.00","250000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"500000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242915",NULL
"418925","B. Lee McGee Executive Vice President - Sylvan Ventures",,"1999","231250.00","200000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"431250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242915",NULL
"418926","Peter Cohen President and Chief Operating Officer",,"2001","297500.00","202500.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"500000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","905226",NULL
"418927","Peter Cohen President and Chief Operating Officer",,"2000","261667.00","74700.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"336367.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","905226",NULL
"418928","Peter Cohen President and Chief Operating Officer",,"1999","224167.00","90300.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"314467.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","905226",NULL
"418929","Raph Appadoo - President and Chief Executive Officer Sylvan International Universities",,"2001","250000.00","187500.00",NULL,NULL,NULL,NULL,NULL,NULL,"9952.00","447452.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242910",NULL
"418930","Raph Appadoo - President and Chief Executive Officer Sylvan International Universities",,"2000","263462.00",NULL,NULL,"1312500.00",NULL,NULL,NULL,NULL,NULL,"1575962.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242910",NULL
"418931","Raph Appadoo - President and Chief Executive Officer Sylvan International Universities",,"1999",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242910",NULL
"418932","Paula R. Singer President and Chief Financial Officer - Online Higher Education",,"2001","223750.00","105000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"328750.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242918",NULL
"418933","Paula R. Singer President and Chief Financial Officer - Online Higher Education",,"2000","204792.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"204792.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242918",NULL
"418934","Paula R. Singer President and Chief Financial Officer - Online Higher Education",,"1999","182083.00","64750.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"246833.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-017522-index.html","912766","2002-04-30","1242918",NULL
"348616","Clark E. McLeod- Chairman Director",,"2001","400000.00","82350.00",NULL,NULL,NULL,NULL,NULL,NULL,"1883400.00","2365750.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348617","Clark E. McLeod- Chairman Director",,"2000","397692.00","166651.00",NULL,"3000000.00",NULL,NULL,NULL,NULL,"1883400.00","5447743.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348618","Clark E. McLeod- Chairman Director",,"1999","250000.00","142000.00",NULL,NULL,NULL,NULL,NULL,NULL,"1883200.00","2275200.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348619","Stephen C. Gray President Chief Executive Officer and Director",,"2001","400000.00","82350.00",NULL,NULL,NULL,NULL,NULL,NULL,"12354.00","494704.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09","1140860",NULL
"348620","Stephen C. Gray President Chief Executive Officer and Director",,"2000","397692.00","166651.00",NULL,"6000000.00",NULL,NULL,NULL,NULL,"3400.00","6567743.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09","1140860",NULL
"348621","Stephen C. Gray President Chief Executive Officer and Director",,"1999","250000.00","142000.00",NULL,"3000000.00",NULL,NULL,NULL,NULL,"3200.00","3395200.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09","1140860",NULL
"348622","Chris A. Davis- Chairman and Chief Executive Officer and Director",,"2001","153846.00","8186398.00",NULL,"6000000.00",NULL,NULL,NULL,NULL,"2210339.00","16550583.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09","1211057",NULL
"348623","Chris A. Davis- Chairman and Chief Executive Officer and Director",,"2000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09","1211057",NULL
"348624","Chris A. Davis- Chairman and Chief Executive Officer and Director",,"1999",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09","1211057",NULL
"348625","Roy A. Wilkens- President and Chief Executive Officer -Network Services and Director",,"2001","206000.00","77557.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"283557.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348626","Roy A. Wilkens- President and Chief Executive Officer -Network Services and Director",,"2000","393846.00","117736.00",NULL,"6000000.00",NULL,NULL,NULL,NULL,NULL,"6511582.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348627","Roy A. Wilkens- President and Chief Executive Officer -Network Services and Director",,"1999",NULL,NULL,NULL,"180000.00",NULL,NULL,NULL,NULL,NULL,"180000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348628","Arthur L. Christoffersen- President and Chief Executive Officer -Publishing Services",,"2001","200000.00","394500.00",NULL,"50000.00",NULL,NULL,NULL,NULL,"7300.00","651800.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348629","Arthur L. Christoffersen- President and Chief Executive Officer -Publishing Services",,"2000","200000.00","90000.00",NULL,"390000.00",NULL,NULL,NULL,NULL,"7450.00","687450.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348630","Arthur L. Christoffersen- President and Chief Executive Officer -Publishing Services",,"1999","180000.00","110000.00",NULL,"450000.00",NULL,NULL,NULL,NULL,"23235.00","763235.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348631","Randall Rings- Group Vice President aw and Secretary",,"2001","170000.00","284376.00",NULL,"40000.00",NULL,NULL,NULL,NULL,"3400.00","497776.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348632","Randall Rings- Group Vice President aw and Secretary",,"2000","160000.00","209634.00",NULL,"300000.00",NULL,NULL,NULL,NULL,"3217.00","672851.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348633","Randall Rings- Group Vice President aw and Secretary",,"1999","116538.00","61728.00",NULL,"720000.00",NULL,NULL,NULL,NULL,"3200.00","901466.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348634","Blake O. Fisher Jr.- Group Vice President - Planning and Development",,"2001","180000.00","302214.00",NULL,"30000.00",NULL,NULL,NULL,NULL,"3474.00","515688.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348635","Blake O. Fisher Jr.- Group Vice President - Planning and Development",,"2000","179999.00","236288.00",NULL,"120000.00",NULL,NULL,NULL,NULL,"3400.00","539687.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"348636","Blake O. Fisher Jr.- Group Vice President - Planning and Development",,"1999","175000.00","102680.00",NULL,"360000.00",NULL,NULL,NULL,NULL,"342690.00","980370.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000912057-02-030715-index.html","919943","2002-08-09",NULL,NULL
"402171","D.R. Starrett (deceased Chairman and CEO until September 19 2001",,"2000","304000.00",NULL,NULL,"700.00",NULL,NULL,NULL,NULL,"3333.00","308033.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402172","D.R. Starrett (deceased Chairman and CEO until September 19 2001",,"2001","304000.00",NULL,NULL,"400.00",NULL,NULL,NULL,NULL,"3653.00","308053.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402173","D.R. Starrett (deceased Chairman and CEO until September 19 2001",,"2002","104841.00",NULL,NULL,"200.00",NULL,NULL,NULL,NULL,"967.00","106008.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402174","D.A. Starrett President and as of September 19 2001 CEO",,"2000","200000.00",NULL,NULL,"900.00",NULL,NULL,NULL,NULL,"3333.00","204233.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402175","D.A. Starrett President and as of September 19 2001 CEO",,"2001","200000.00",NULL,NULL,"600.00",NULL,NULL,NULL,NULL,"3333.00","203933.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402176","D.A. Starrett President and as of September 19 2001 CEO",,"2002","245960.00",NULL,NULL,"800.00",NULL,NULL,NULL,NULL,"4097.00","250857.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402177","D.A. Starrett President and as of September 19 2001 CEO",,"2001","118000.00","6200.00",NULL,"254.00",NULL,NULL,NULL,NULL,"421.00","124875.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402178","D.A. Starrett President and as of September 19 2001 CEO",,"2002","120000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"419.00","120419.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402179","G.B. Webber Vice President Webber Gage Division",,"2000","110000.00",NULL,NULL,"1196.00",NULL,NULL,NULL,NULL,"1880.00","113076.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402180","G.B. Webber Vice President Webber Gage Division",,"2001","110000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1943.00","111943.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402181","G.B. Webber Vice President Webber Gage Division",,"2002","106046.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1757.00","107803.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234640",NULL
"402182","R.U. Wellington Jr. Vice President Treasurer and CFO",,"2000","168000.00",NULL,NULL,"3158.00",NULL,NULL,NULL,NULL,"3287.00","174445.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234641",NULL
"402183","R.U. Wellington Jr. Vice President Treasurer and CFO",,"2001","168000.00",NULL,NULL,"3982.00",NULL,NULL,NULL,NULL,"2800.00","174782.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234641",NULL
"402184","R.U. Wellington Jr. Vice President Treasurer and CFO",,"2002","167500.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1692.00","169192.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000927016-02-004174-index.html","93676","2002-08-16","1234641",NULL
"446995","W. G. Jurgensen:","Board and Chief Executive Officer 1","2001","277682.00",NULL,NULL,NULL,NULL,NULL,NULL,"187119.00","27191.00","491992.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1187349",NULL
"446996","W. G. Jurgensen:","Board and Chief Executive Officer 1","2000","230290.00","951660.00",NULL,NULL,"700000.00",NULL,NULL,"210000.00","7240.00","2099190.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1187349",NULL
"446997","Joseph J. Gasper:",,"2001","718269.00","246500.00",NULL,NULL,"2282837.00",NULL,NULL,"77643.00","58315.00","3383564.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197727",NULL
"446998","Joseph J. Gasper:",,"2000","634499.00","1132145.00",NULL,NULL,"1077500.00",NULL,NULL,"76100.00","45881.00","2966125.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197727",NULL
"446999","Joseph J. Gasper:",,"1999","512308.00","952282.00",NULL,NULL,NULL,NULL,NULL,"78000.00","21496.00","1564086.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197727",NULL
"447000","Richard A. Karas:",,"2001","386539.00","140700.00",NULL,NULL,"399656.00",NULL,NULL,"12325.00","21134.00","960354.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197744",NULL
"447001","Richard A. Karas:",,"2000","339231.00","317791.00",NULL,NULL,"202031.00",NULL,NULL,"15000.00","23113.00","897166.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197744",NULL
"447002","Richard A. Karas:",,"1999","307308.00","330021.00",NULL,NULL,NULL,NULL,NULL,"34400.00","13182.00","684911.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197744",NULL
"447003","Mark D. Phelan:",,"2001","297154.00","134000.00",NULL,NULL,NULL,NULL,NULL,"30785.00","7077.00","469016.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197762",NULL
"447004","Mark D. Phelan:",,"2000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10400.00",NULL,"10400.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197762",NULL
"447005","Mark D. Phelan:",,"1999",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5000.00",NULL,"5000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197762",NULL
"447006","Mark R. Thresher:",,"2001","293269.00","134000.00",NULL,NULL,"399656.00",NULL,NULL,"12035.00","17035.00","855997.00","2.00","www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197768",NULL
"447007","Mark R. Thresher:",,"2000","262622.00","274142.00",NULL,NULL,"140075.00",NULL,NULL,"11400.00","15811.00","704050.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197768",NULL
"447008","Mark R. Thresher:",,"1999","219846.00","244609.00",NULL,NULL,"61695.00",NULL,NULL,"19250.00","12104.00","557504.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950109-02-001769-index.html","1029786","2002-03-28","1197768",NULL
"372054","Robert R. Bennett","President and Chief Executive Officer","2002","1000000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"271432.00","1271432.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1119603",NULL
"372055","Robert R. Bennett","President and Chief Executive Officer","2001","1000000.00",NULL,NULL,NULL,NULL,NULL,NULL,"16264000.00","219362.00","17483362.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1119603",NULL
"372056","Robert R. Bennett","President and Chief Executive Officer","2000","1000000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"175334.00","1175334.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1119603",NULL
"372057","Gary S. Howard","Executive Vice President and Chief Operating Officer","2002","787500.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"20000.00","807500.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1118041",NULL
"372058","Gary S. Howard","Executive Vice President and Chief Operating Officer","2001","787500.00",NULL,NULL,NULL,NULL,NULL,NULL,"8535000.00","17500.00","9340000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1118041",NULL
"372059","Gary S. Howard","Executive Vice President and Chief Operating Officer","2000","786058.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15000.00","801058.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1118041",NULL
"372060","David J.A. Flowers","Senior Vice President and Treasurer","2002","425000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"20000.00","445000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195179",NULL
"372061","David J.A. Flowers","Senior Vice President and Treasurer","2001","375000.00",NULL,NULL,NULL,NULL,NULL,NULL,"1440000.00","17500.00","1832500.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195179",NULL
"372062","David J.A. Flowers","Senior Vice President and Treasurer","2000","323077.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15000.00","338077.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195179",NULL
"372063","Elizabeth M. Markowski","Senior Vice President","2002","615000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"20000.00","635000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195187",NULL
"372064","Elizabeth M. Markowski","Senior Vice President","2001","600000.00",NULL,NULL,NULL,NULL,NULL,NULL,"200000.00","89891.00","889891.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195187",NULL
"372065","Elizabeth M. Markowski","Senior Vice President","2000","87714.00",NULL,NULL,NULL,NULL,NULL,NULL,"1000000.00","62625.00","1150339.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195187",NULL
"372066","Charles Y. Tanabe","Senior Vice President, Secretary and General Counsel","2002","615000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"20000.00","635000.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195206",NULL
"372067","Charles Y. Tanabe","Senior Vice President, Secretary and General Counsel","2001","600000.00",NULL,NULL,NULL,NULL,NULL,NULL,"1920000.00","17500.00","2537500.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195206",NULL
"372068","Charles Y. Tanabe","Senior Vice President, Secretary and General Counsel","2000","524039.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15000.00","539039.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950123-03-004785-index.html","1082114","2003-04-25","1195206",NULL
"100618","Jerome F. Tatar Chairman of the Board (Retired December 30 2002",,"2002","854904.00","546300.00",NULL,NULL,NULL,NULL,NULL,"50000.00","23540319.00","24991523.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14",NULL,NULL
"100619","Jerome F. Tatar Chairman of the Board (Retired December 30 2002",,"2001","850754.00","400000.00",NULL,NULL,NULL,NULL,NULL,"114113.00","64477.00","1429344.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14",NULL,NULL
"100620","Jerome F. Tatar Chairman of the Board (Retired December 30 2002",,"2000","820838.00","530000.00",NULL,NULL,NULL,NULL,NULL,"98678.00","62468.00","1895934.00","383950.00","www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14",NULL,NULL
"100621","Jerome F. Tatar Chairman of the Board (Retired December 30 2002",,"2001","145833.00",NULL,NULL,NULL,NULL,NULL,NULL,"155200.00","6563.00","307596.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14",NULL,NULL
"100622","Jerome F. Tatar Chairman of the Board (Retired December 30 2002",,"2000","875000.00",NULL,NULL,NULL,"298185.00",NULL,NULL,"150350.00","48329.00","1371864.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14",NULL,NULL
"100623","Jerome F. Tatar Chairman of the Board (Retired December 30 2002",,"2001","75000.00",NULL,NULL,NULL,NULL,NULL,NULL,"58200.00","3375.00","136575.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14",NULL,NULL
"100624","Jerome F. Tatar Chairman of the Board (Retired December 30 2002",,"2000","450000.00","150000.00",NULL,NULL,NULL,NULL,NULL,"48500.00","32481.00","680981.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14",NULL,NULL
"100625","Raymond W. Lane Executive Vice President",,"2002","489000.00","264200.00",NULL,NULL,NULL,NULL,NULL,"20000.00","28327.00","801527.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14","1166679",NULL
"100626","Raymond W. Lane Executive Vice President",,"2001","453000.00","100000.00",NULL,NULL,NULL,NULL,NULL,"33923.00","30327.00","617250.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14","1166679",NULL
"100627","Raymond W. Lane Executive Vice President",,"2000","433600.00","200000.00",NULL,NULL,NULL,NULL,NULL,"30000.00","28927.00","911152.00","218625.00","www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14","1166679",NULL
"100628","Raymond W. Lane Executive Vice President",,"2001","75000.00",NULL,NULL,NULL,NULL,NULL,NULL,"33950.00","3375.00","112325.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14","1166679",NULL
"100629","Raymond W. Lane Executive Vice President",,"2000","450000.00","100000.00",NULL,NULL,NULL,NULL,NULL,"33950.00","30231.00","614181.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14","1166679",NULL
"100630","Raymond W. Lane Executive Vice President",,"2001","70833.00",NULL,NULL,NULL,NULL,NULL,NULL,"33949.00","3188.00","107970.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14","1166679",NULL
"100631","Raymond W. Lane Executive Vice President",,"2000","383333.00",NULL,NULL,NULL,NULL,NULL,NULL,"29099.00","21899.00","434331.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950130-03-002074-index.html","1159297","2003-03-14","1166679",NULL
"210354","Kerry B. Skeen","Officer","2002","400535.00","434408.00",NULL,NULL,NULL,NULL,NULL,"200000.00","491338.00","1526281.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235578",NULL
"210355","Kerry B. Skeen","Officer","2001","425798.00","46811.00",NULL,NULL,"437580.00",NULL,NULL,"329866.00","479048.00","1719103.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235578",NULL
"210356","Kerry B. Skeen","Officer","2000","403462.00","59949.00",NULL,NULL,"439063.00",NULL,NULL,"200000.00","423456.00","1525930.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235578",NULL
"210357","Thomas J. Moore",,"2002","253312.00","219315.00",NULL,NULL,NULL,NULL,NULL,"100000.00","266794.00","839421.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235573",NULL
"210358","Thomas J. Moore",,"2001","269183.00","29593.00",NULL,NULL,"208260.00",NULL,NULL,"171837.00","226645.00","905518.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235573",NULL
"210359","Thomas J. Moore",,"2000","253402.00","37930.00",NULL,NULL,"210750.00",NULL,NULL,"100000.00","200634.00","802716.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235573",NULL
"210360","Richard J. Surratt -","Financial Officer","2002","197758.00","171306.00",NULL,NULL,NULL,NULL,NULL,"75000.00","155001.00","599065.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235581",NULL
"210361","Richard J. Surratt -","Financial Officer","2001","176192.00","19370.00",NULL,NULL,"135720.00",NULL,NULL,"122021.00","100942.00","554245.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235581",NULL
"210362","Richard J. Surratt -","Financial Officer","2000","164283.00","24644.00",NULL,NULL,"158063.00",NULL,NULL,"80000.00","41105.00","468095.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30","1235581",NULL
"210363","Michael S. Davis",,"2002","174946.00","151472.00",NULL,NULL,NULL,NULL,NULL,"75000.00","112142.00","513560.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30",NULL,NULL
"210364","Michael S. Davis",,"2001","185981.00","20446.00",NULL,NULL,"142740.00",NULL,NULL,"124633.00","107439.00","581239.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30",NULL,NULL
"210365","Michael S. Davis",,"2000","171577.00","25717.00",NULL,NULL,"158063.00",NULL,NULL,"50000.00","86974.00","492331.00",NULL,"www.sec.gov/Archives/edgar/data/852254/0000950133-03-001551-index.html","904020","2003-04-30",NULL,NULL
